Variable;Region;Energy carrier;Unit;Year;value
Final Energy Demand;"NAM";electricity;PJ/yr;2019;1,62691985426000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2020;1,58536802174000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2021;1,67266319315000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2022;1,72011616753000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2023;1,73852531276000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2024;1,75493062492000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2025;1,77330009868000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2026;1,79316286932000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2027;1,81386240487000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2028;1,83480936101000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2029;1,85621887640000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2030;1,87779440031000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2031;1,89974722743000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2032;1,92213020150000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2033;1,94578500670000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2034;1,96913242218000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2035;1,99165173438000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2036;2,01344641592000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2037;2,03486395387000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2038;2,05593207150000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2039;2,07663525255000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2040;2,09703036941000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2041;2,11687289815000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2042;2,13633819071000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2043;2,15547969839000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2044;2,17447025139000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2045;2,19234590796000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2046;2,20898788674000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2047;2,22424741377000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2048;2,23826176775000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2049;2,25125369525000e+04
Final Energy Demand;"NAM";electricity;PJ/yr;2050;2,26237506228000e+04
Final Energy Demand;LAM;electricity;PJ/yr;2019;4,75849283733000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2020;4,34977473795000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2021;4,47253502355000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2022;4,61958985975000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2023;4,71529588053000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2024;4,80357090681000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2025;4,88069774100000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2026;4,96003045191000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2027;5,05173471079000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2028;5,15981194988000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2029;5,28780648383000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2030;5,43430192364000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2031;5,60243233883000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2032;5,79458924785000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2033;6,01134862898000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2034;6,25303786044000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2035;6,51999495853000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2036;6,81133353646000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2037;7,12570773148000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2038;7,46147399616000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2039;7,81538667727000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2040;8,18826110820000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2041;8,57949046277000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2042;8,98835239611000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2043;9,41421983198000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2044;9,85173331848000e+03
Final Energy Demand;LAM;electricity;PJ/yr;2045;1,02961490603000e+04
Final Energy Demand;LAM;electricity;PJ/yr;2046;1,07543920597000e+04
Final Energy Demand;LAM;electricity;PJ/yr;2047;1,12248307761000e+04
Final Energy Demand;LAM;electricity;PJ/yr;2048;1,17024838831000e+04
Final Energy Demand;LAM;electricity;PJ/yr;2049;1,21838290665000e+04
Final Energy Demand;LAM;electricity;PJ/yr;2050;1,26666547961000e+04
Final Energy Demand;EUR;electricity;PJ/yr;2019;1,09379388595330e+04
Final Energy Demand;EUR;electricity;PJ/yr;2020;1,04437092587930e+04
Final Energy Demand;EUR;electricity;PJ/yr;2021;1,08815626951460e+04
Final Energy Demand;EUR;electricity;PJ/yr;2022;1,12316231606790e+04
Final Energy Demand;EUR;electricity;PJ/yr;2023;1,14137544244500e+04
Final Energy Demand;EUR;electricity;PJ/yr;2024;1,15651992055620e+04
Final Energy Demand;EUR;electricity;PJ/yr;2025;1,17079127425640e+04
Final Energy Demand;EUR;electricity;PJ/yr;2026;1,18685071177590e+04
Final Energy Demand;EUR;electricity;PJ/yr;2027;1,20580153890750e+04
